wavelength_nm,R_no_gap_percent,R_1mm_air_gap_only_percent,R_sio2_reference_1mm_air_gap_percent
753.74,11.696320949088477,11.696320949088463,28.8719292037843
753.76,11.69708787654792,11.697087876547936,34.021524977906225
753.78,11.697854803659089,11.697854803659089,36.859609443210076
753.8,11.698621730413446,11.698621730413459,37.38962345044523
753.8199999999999,11.699388656802528,11.699388656802528,35.62061318723294
753.84,11.700155582817816,11.700155582817827,31.53350976054211
753.86,11.700922508450814,11.70092250845083,25.198222361327353
753.88,11.70168943369304,11.701689433693048,17.081594789677865
753.9000000000001,11.70245635853602,11.702456358536024,8.523332851097306
753.9200000000001,11.703223282971239,11.70322328297123,1.969713305756975
753.94,11.703990206990222,11.703990206990214,0.08203463105845687
753.96,11.704757130584477,11.704757130584477,3.75954708475075
753.98,11.705524053745549,11.705524053745549,11.305048433717474
754.0,11.706290976464938,11.70629097646493,19.93587194634057
754.02,11.707057898734183,11.707057898734186,27.551931433425388
754.04,11.707824820544804,11.707824820544813,33.159814957677035
754.06,11.708591741888338,11.708591741888332,36.47364539183861
754.0799999999999,11.709358662756292,11.709358662756307,37.477628174662456
754.1,11.71012558314023,11.71012558314024,36.18725835544909
754.12,11.710892503031673,11.710892503031669,32.584957204804226
754.14,11.711659422422152,11.711659422422157,26.703532341469664
754.1600000000001,11.712426341303217,11.712426341303221,18.889870393662516
754.1800000000001,11.713193259666408,11.713193259666408,10.259287494654625
754.2,11.713960177503276,11.713960177503276,3.0443782833977813
754.22,11.714727094805355,11.714727094805351,0.005941623787601414
754.24,11.715494011564202,11.715494011564196,2.56441737601578
754.26,11.716260927771371,11.716260927771367,9.512872078478622
754.28,11.717027843418416,11.717027843418409,18.123202089792397
754.3,11.717794758496883,11.71779475849688,26.07083559434336
754.3199999999999,11.71856167299834,11.718561672998328,32.14857061202422
754.34,11.719328586914344,11.719328586914338,35.961780195264446
754.36,11.720095500236456,11.720095500236456,37.46390021181105
754.38,11.720862412956237,11.72086241295624,36.674377608971284
754.4000000000001,11.72162932506527,11.721629325065262,33.580945506464325
754.4200000000001,11.722396236555122,11.72239623655511,28.189766224833875
754.44,11.723163147417333,11.72316314741733,20.744545403855177
754.46,11.723930057643525,11.723930057643521,12.14610585571259
754.48,11.724696967225244,11.724696967225237,4.378554496428643
754.5,11.725463876154064,11.72546387615406,0.2090545143561768
754.52,11.726230784421585,11.726230784421574,1.5309289068311684
754.54,11.726997692019378,11.726997692019376,7.711863781028258
754.56,11.727764598939029,11.727764598939032,16.184080187715917
754.5799999999999,11.728531505172144,11.728531505172137,24.421082781897713
754.6,11.729298410710285,11.729298410710285,30.973224585460144
754.62,11.730065315545067,11.730065315545067,35.30803159214416
754.64,11.730832219668072,11.730832219668063,37.33285091640998
754.6600000000001,11.731599123070891,11.731599123070891,37.0665420376989
754.6800000000001,11.732366025745122,11.732366025745131,34.50487194667888
754.7,11.73313292768239,11.73313292768239,29.637232855177736
754.72,11.733899828874272,11.733899828874268,22.62192492908687
754.74,11.734666729312385,11.734666729312378,14.161429289165708
754.76,11.73543362898833,11.73543362898833,5.969249326401272
754.78,11.736200527893722,11.736200527893727,0.7262226122023667
754.8,11.736967426020179,11.736967426020186,0.7183830202062711
754.8199999999999,11.737734323359303,11.737734323359303,5.949152055508739
754.84,11.738501219902728,11.738501219902728,14.136389792621356
754.86,11.739268115642052,11.739268115642052,22.59850388059098
