mode,rank,success,cost,optimizer_robust_cost,rmse_normalized,nfev,optimality,message,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
I,31,True,1698.698763,732.2599361,1.373842447,8,4.166985122,`ftol` termination condition is satisfied.,17,0.8047538077,4.764496715e-05,0.9037221985,999.8909485,-0.1090514674,20,-10,1,-9,30,-10,33.94710592,-6.052894081,999.8837616,20.1656589,1.124907127,30.04018937,36.65747494
I,32,True,1698.698823,732.2599361,1.373842472,8,4.223343753,`ftol` termination condition is satisfied.,20,0.8055375827,4.77596191e-05,0.9037221601,999.8909485,-0.1090514656,20,-10,1,-9,30,-10,33.94710821,-6.052891788,999.8877596,20.33724054,1.23765774,30.35285593,34.26157569
D,1,True,1423.562557,731.6589992,1.257670932,14,0.4283671382,`ftol` termination condition is satisfied.,16,0.7533083228,0,0.7573295537,999.6690285,-0.3309714782,30.66890201,0.6689020055,5.134252623,-4.865747377,50,10,30,-10,999.6713364,27.65537812,6.820153723,49.12140819,30.13820462
D,2,True,1423.563357,731.6589984,1.257671286,14,0.3507970859,`ftol` termination condition is satisfied.,8,0.7523725285,7.960706714e-05,0.7573514941,999.6690287,-0.3309713416,30.66999832,0.6699983236,5.133155795,-4.866844205,49.99999996,9.999999965,30,-10,999.6682369,27.52524263,8.31085679,49.72747077,30.03596841
D,3,True,1423.563451,731.658999,1.257671327,14,0.3798705242,`ftol` termination condition is satisfied.,6,0.751475161,7.242676994e-05,0.7573498669,999.6690287,-0.3309712916,30.66987323,0.6698732264,5.133231656,-4.866768344,50,9.999999999,30,-10,999.6718146,28.32298455,6.014453405,49.16208838,30.04811538
D,4,True,1423.563975,731.6589952,1.257671559,14,0.3758718091,`ftol` termination condition is satisfied.,30,0.7563081045,0.0002025929559,0.757384025,999.6690286,-0.330971363,30.67178855,0.6717885515,5.131551311,-4.868448689,49.99999997,9.999999975,30,-10,999.6698719,22.6325151,11.791147,49.40629608,30.1318291
D,5,True,1423.56425,731.658995,1.25767168,14,0.3645915512,`ftol` termination condition is satisfied.,32,0.7563694753,0.0002308861009,0.7573918088,999.6690287,-0.3309713181,30.67218002,0.6721800186,5.131162861,-4.868837139,49.99999996,9.999999965,30,-10,999.6698626,22.62422838,11.80427324,49.40485625,30.13276649
D,6,True,1423.564847,731.6589963,1.257671944,11,0.267362379,`ftol` termination condition is satisfied.,7,0.7521955106,0.0002833219554,0.7574064167,999.6690288,-0.3309712027,30.67289195,0.6728919507,5.130430261,-4.869569739,49.99999949,9.999999488,30,-9.999999999,999.6692597,26.17496064,9.41481123,49.5754415,30.0563192
D,7,True,1423.565067,731.6589939,1.257672041,13,0.36281219,`ftol` termination condition is satisfied.,15,0.7532353262,0.0003352525893,0.7574200817,999.6690288,-0.3309712272,30.67365435,0.673654355,5.129759124,-4.870240876,49.99999999,9.999999992,30,-10,999.6704816,32.01561313,2.740408609,49.61079168,30.08131352
D,8,True,1423.565071,731.6589966,1.257672043,15,0.2857164824,`ftol` termination condition is satisfied.,17,0.7533758335,0.0002619347544,0.7574015071,999.6690289,-0.3309710739,30.67252883,0.6725288321,5.130661416,-4.869338584,50,9.999999998,30,-10,999.6705232,22.79695424,12.21971473,48.82092307,30.03903939
