Wavelength(um),Intensity
4.171042760690172879e-01,7.121250071270999689e-24
4.172043010752688463e-01,7.477425670424000439e-24
4.173043260815204047e-01,7.842127888948000296e-24
4.174043510877719632e-01,8.200158891108999667e-24
4.175043760940235216e-01,8.538348233178999636e-24
4.176044011002750800e-01,8.846015608686000724e-24
4.177044261065266384e-01,9.115259857773000475e-24
4.178044511127781968e-01,9.341071288043999497e-24
4.179044761190297552e-01,9.521261826435999517e-24
4.180045011252813691e-01,9.656220754849999765e-24
4.181045261315329276e-01,9.748525588899999958e-24
4.182045511377844860e-01,9.802459690309000128e-24
4.183045761440360444e-01,9.823502345239999431e-24
4.184046011502876028e-01,9.817856848195999377e-24
4.185046261565391612e-01,9.792064809620999814e-24
4.186046511627907196e-01,9.752723223874999622e-24
4.187046761690422780e-01,9.706283690984999533e-24
4.188047011752938364e-01,9.658883720814000298e-24
4.189047261815453949e-01,9.616151242867999366e-24
4.190047511877969533e-01,9.582942476169999889e-24
4.191047761940485117e-01,9.563016848814999885e-24
4.192048012003001256e-01,9.558705533351000661e-24
4.193048262065516840e-01,9.570669476404000195e-24
4.194048512128032424e-01,9.597847551613999955e-24
4.195048762190548008e-01,9.637658047964000303e-24
4.196049012253063593e-01,9.686448915705999644e-24
4.197049262315579177e-01,9.740120123703000641e-24
4.198049512378094761e-01,9.794791713384999708e-24
4.199049762440610345e-01,9.847377929573999437e-24
4.200050012503125929e-01,9.895949683725000324e-24
4.201050262565641513e-01,9.939813099696000106e-24
4.202050512628157097e-01,9.979287854139999653e-24
4.203050762690672681e-01,1.001522532915000002e-23
4.204051012753188266e-01,1.004835601436000052e-23
4.205051262815704405e-01,1.007859141682000062e-23
4.206051512878219989e-01,1.010442065857000026e-23
4.207051762940735573e-01,1.012253014599000008e-23
4.208052013003251157e-01,1.012773602157999968e-23
4.209052263065766741e-01,1.011326183183000052e-23
4.210052513128282325e-01,1.007133280634000070e-23
4.211052763190797910e-01,9.994008625084000248e-24
4.212053013253313494e-01,9.874147919649999985e-24
4.213053263315829078e-01,9.706391091673999946e-24
4.214053513378344662e-01,9.488058425679999980e-24
4.215053763440860246e-01,9.219881241931000432e-24
4.216054013503375830e-01,8.906509430216000057e-24
4.217054263565891969e-01,8.556764892552000734e-24
4.218054513628407554e-01,8.183632212197000314e-24
4.219054763690923138e-01,7.803986695988000399e-24
4.220055013753438722e-01,7.438042654303000017e-24
4.221055263815954306e-01,7.108449766087999972e-24
4.222055513878469890e-01,6.838884582273999297e-24
4.223055763940985474e-01,6.651952023133999323e-24
4.224056014003501058e-01,6.566375991181999816e-24
4.225056264066016642e-01,6.593913578174999703e-24
4.226056514128532227e-01,6.736944297910999801e-24
4.227056764191047811e-01,6.987700857408999587e-24
4.228057014253563395e-01,7.329370332824999952e-24
4.229057264316079534e-01,7.738398632702000061e-24
4.230057514378595118e-01,8.187057482403000460e-24
4.231057764441110702e-01,8.645703766834000024e-24
4.232058014503626286e-01,9.084637546855000287e-24
4.233058264566141871e-01,9.475689808221000461e-24
4.234058514628657455e-01,9.793659660237999582e-24
4.235058764691173039e-01,1.001762319665999967e-23
4.236059014753688623e-01,1.013205539175000028e-23
4.237059264816204207e-01,1.012767487030000011e-23
4.238059514878719791e-01,1.000193576926999985e-23
4.239059764941235375e-01,9.759138535437999900e-24
4.240060015003750959e-01,9.410200490809999596e-24
4.241060265066266544e-01,8.972206472781000521e-24
4.242060515128782683e-01,8.467935003413000688e-24
4.243060765191298267e-01,7.925596570919000463e-24
4.244061015253813851e-01,7.378961328207999742e-24
4.245061265316329435e-01,6.867757519943000638e-24
4.246061515378845019e-01,6.437489439014999877e-24
4.247061765441360603e-01,6.136668742599999929e-24
4.248062015503876188e-01,6.008999957321999643e-24
4.249062265566391772e-01,6.080981961929000064e-24
4.250062515628907356e-01,6.351709048247000048e-24
4.251062765691422940e-01,6.793121349175999507e-24
4.252063015753938524e-01,7.360179665917000376e-24
4.253063265816454108e-01,8.002738444247000309e-24
4.254063515878969692e-01,8.673309189287999902e-24
4.255063765941485832e-01,9.330529689901000700e-24
4.256064016004001416e-01,9.940312694997000521e-24
